Portfolio,NSE,ACC,ACC.NS,500,500
Portfolio,NSE,ADANIPORTS,ADANIPORTS.NS,1250
Portfolio,NSE,ASIANPAINT,ASIANPAINT.NS,300
Watchlist,NSE,BAJAJ_AUTO,BAJAJ-AUTO.NS,250
Portfolio,NSE,BHEL,BHEL.NS,10500
Portfolio,NSE,CIPLA,CIPLA.NS,650
Watchlist,NSE,COALINDIA,COALINDIA.NS,4200
Watchlist,NSE,EXIDEIND,EXIDEIND.NS,3600
Portfolio,NSE,HCLTECH,HCLTECH.NS,700
Watchlist,NSE,HDFCBANK,HDFCBANK.NS,550
Portfolio,NSE,HINDCOPPER,HINDCOPPER.NS,0
Portfolio,NSE,ICICIBANK,ICICIBANK.NS,1375
Portfolio,NSE,IDFC,IDFC.NS,0
Portfolio,NSE,IEX,IEX.NS,0
Portfolio,NSE,INFY,INFY.NS,600
Portfolio,NSE,JSWSTEEL,JSWSTEEL.NS,1350
Watchlist,NSE,LAURUSLABS,LAURUSLABS.NS,0
Portfolio,NSE,LT,LT.NS,575
Portfolio,NSE,MOIL,MOIL.NS,0
Portfolio,NSE,MUTHOOTFIN,MUTHOOTFIN.NS,750
Portfolio,NSE,NESTLEIND,NESTLEIND.NS,50
Portfolio,NSE,PIIND,PIIND.NS,250
Portfolio,NSE,RELIANCE,RELIANCE.NS,250
Portfolio,NSE,SBIN,SBIN.NS,1500
Portfolio,NSE,SUNTV,SUNTV.NS,1500
Portfolio,NSE,TATAMOTORS,TATAMOTORS.NS,2850
Portfolio,NSE,TATAPOWER,TATAPOWER.NS,6750
Portfolio,NSE,TATASTEEL,TATASTEEL.NS,850
Watchlist,NSE,THYROCARE,THYROCARE.NS,0
Watchlist,BSE,ANDHRAPET,ANDHRAPET.BO,0
Watchlist,NSE,ABBOTINDIA,ABBOTINDIA.NS,0
Watchlist,NSE,ADANIENT,ADANIENT.NS,1000
Watchlist,NSE,ADANIGREEN,ADANIGREEN.NS,0
Watchlist,NSE,ADANIPOWER,ADANIPOWER.NS,0
Watchlist,NSE,ALKYLAMINE,ALKYLAMINE.NS,0
Watchlist,NSE,APOLLOHOSP,APOLLOHOSP.NS,250
Watchlist,NSE,ASTRAL,ASTRAL.NS,0
Watchlist,NSE,AXISBANK,AXISBANK.NS,1200
Portfolio,NSE,BAJAJFINSV,BAJAJFINSV.NS,75
Portfolio,NSE,BAJAJHLDNG,BAJAJHLDNG.NS,0
Watchlist,NSE,BAJFINANCE,BAJFINANCE.NS,125
Watchlist,NSE,BHARTIARTL,BHARTIARTL.NS,1851
Watchlist,NSE,BIOCON,BIOCON.NS,2300
Portfolio,NSE,BOSCHLTD,BOSCHLTD.NS,50
Watchlist,NSE,BRITANNIA,BRITANNIA.NS,200
Watchlist,NSE,CROMPTON,CROMPTON.NS,0
Watchlist,NSE,DELTACORP,DELTACORP.NS,0
Portfolio,NSE,EICHERMOT,EICHERMOT.NS,350
Portfolio,NSE,EIDPARRY,EIDPARRY.NS,0
Watchlist,NSE,EPL,EPL.NS,0
Watchlist,NSE,FINCABLES,FINCABLES.NS,0
Watchlist,NSE,FINPIPE,FINPIPE.NS,0
Watchlist,NSE,FSL,FSL.NS,0
Portfolio,NSE,GEOJITFSL,GEOJITFSL.NS,0
Portfolio,NSE,GLENMARK,GLENMARK.NS,1150
Watchlist,NSE,GODREJCP,GODREJCP.NS,1000
Portfolio,NSE,HDFC,HDFC.NS,300
Watchlist,NSE,HDFCLIFE,HDFCLIFE.NS,1100
Watchlist,NSE,HINDUNILVR,HINDUNILVR.NS,300
Watchlist,NSE,HINDZINC,HINDZINC.NS,0
Watchlist,NSE,INDIACEM,INDIACEM.NS,0
Watchlist,NSE,ISEC,ISEC.NS,0
Watchlist,NSE,JINDALSTEL,JINDALSTEL.NS,2500
Watchlist,NSE,JSWENERGY,JSWENERGY.NS,0
Watchlist,NSE,KEC,KEC.NS,0
Watchlist,NSE,KIRLFER,KIRLFER.NS,0
Portfolio,NSE,LALPATHLAB,LALPATHLAB.NS,250
Watchlist,NSE,MOTHERSUMI,MOTHERSUMI.NS,3500
Watchlist,NSE,MPHASIS,MPHASIS.NS,325
Watchlist,NSE,NMDC,NMDC.NS,6700
Portfolio,NSE,PIDILITIND,PIDILITIND.NS,500
Watchlist,NSE,PPL,PPL.NS,0
Watchlist,NSE,RAYMOND,RAYMOND.NS,0
Watchlist,NSE,REDINGTON,REDINGTON.NS,0
Watchlist,NSE,SUNPHARMA,SUNPHARMA.NS,1400
Watchlist,NSE,TCS,TCS.NS,300
Watchlist,NSE,TITAN,TITAN.NS,375
Watchlist,NSE,TNPETRO,TNPETRO.NS,0
Watchlist,NSE,TORNTPHARM,TORNTPHARM.NS,250
Watchlist,NSE,ULTRACEMCO,ULTRACEMCO.NS,100
Watchlist,NSE,UTIAMC,UTIAMC.NS,0
Watchlist,NSE,VEDL,VEDL.NS,3100
Portfolio,NSE,WIPRO,WIPRO.NS,1600 
Watchlist,NSE,MOTILALOFS,MOTILALOFS.NS,0
Watchlist,NSE,DIVISLAB,DIVISLAB.NS,2000
Portfolio,NSE,ESCORTS,ESCORTS.NS,550
Watchlist,NSE,SEQUENT,SEQUENT.NS,0
Watchlist,NSE,ORIENTELEC,ORIENTELEC.NS,0
Watchlist,NSE,LUXIND,LUXIND.NS,0
Portfolio,NSE,DEEPAKNTR,DEEPAKNTR.NS,0
Watchlist,NSE,DMART,DMART.NS,0
Watchlist,NSE,SIEMENS,SIEMENS.NS,0
Watchlist,NSE,JUBLFOOD,JUBLFOOD.NS,0
Watchlist,NSE,TATACHEM,TATACHEM.NS,1
Watchlist,NSE,ZEEL,ZEEL.NS,1
Watchlist,NSE,APOLLOTYRE,APOLLOTYRE.NS,1
Watchlist,NSE,TATACONSUM,TATACONSUM.NS,1
Watchlist,NSE,LUPIN,LUPIN.NS,1
Watchlist,NSE,HAVELLS,HAVELLS.NS,1
Watchlist,NSE,OBEROIRLTY,OBEROIRLTY.NS,1
Watchlist,NSE,DIXON,DIXON.NS,1
Portfolio,NSE,CESC,CESC.NS,1
Watchlist,NSE,COFORGE,COFORGE.NS,1
Portfolio,NSE,ABB,ABB.NS,1
Watchlist,NSE,MINDACORP,MINDACORP.NS,1
Watchlist,NSE,SUZLON,SUZLON.NS,1
Watchlist,NSE,PAYTM,PAYTM.NS,1
Watchlist,NSE,GAIL,GAIL.NS,1
Watchlist,NSE,COROMANDEL,COROMANDEL.NS,1
Watchlist,NSE,HINDPETRO,HINDPETRO.NS,1
Watchlist,NSE,ICICIGI,ICICIGI.NS,1
Watchlist,NSE,BHARATFORG,BHARATFORG.NS,1
Watchlist,NSE,OIL,OIL.NS,1
Watchlist,NSE,AMBUJACEM,AMBUJACEM.NS,1
Watchlist,NSE,AUROPHARMA,AUROPHARMA.NS,1
Watchlist,NSE,BEL,BEL.NS,1
Watchlist,NSE,BALKRISIND,BALKRISIND.NS,1
Watchlist,NSE,BANKBARODA,BANKBARODA.NS,1
Watchlist,NSE,BPCL,BPCL.NS,1
Watchlist,NSE,BERGEPAINT,BERGEPAINT.NS,1
Watchlist,NSE,CHOLAFIN,CHOLAFIN.NS,1
Watchlist,NSE,DABUR,DABUR.NS,1
Watchlist,NSE,GODREJPROP,GODREJPROP.NS,1
Watchlist,NSE,GRASIM,GRASIM.NS,1
Watchlist,NSE,HEROMOTOCO,HEROMOTOCO.NS,1
Watchlist,NSE,INDUSINDBK,INDUSINDBK.NS,1
Watchlist,NSE,NAUKRI,NAUKRI.NS,1
Watchlist,NSE,KOTAKBANK,KOTAKBANK.NS,1
Watchlist,NSE,MARICO,MARICO.NS,1
Watchlist,NSE,MARUTI,MARUTI.NS,1
Watchlist,NSE,MINDTREE,MINDTREE.NS,1
Watchlist,NSE,PAGEIND,PAGEIND.NS,1
Watchlist,NSE,PGHH,PGHH.NS,1
Watchlist,NSE,PEL,PEL.NS,1
Watchlist,NSE,PNB,PNB.NS,1
Watchlist,NSE,POWERGRID,POWERGRID.NS,1
Watchlist,NSE,SRTRANSFIN,SRTRANSFIN.NS,1
Watchlist,NSE,SHREECEM,SHREECEM.NS,1
Watchlist,NSE,SRF,SRF.NS,1
Watchlist,NSE,TECHM,TECHM.NS,1
Watchlist,NSE,UBL,UBL.NS,1
Watchlist,NSE,UPL,UPL.NS,1
Watchlist,NSE,VOLTAS,VOLTAS.NS,1
Watchlist,NSE,KRBL,KRBL.NS,1