Sector,Symbol,Rule,Trend,Price,PreviousClose,52WeekHigh,52WeekLow,TrailingPE,ForwardPE,pegRatio,PriceToBook,EarningsQuarterlyGrowth,Institutions_pct,Earning_Date,Reco_4_hrs,Reco_Daily,Reco_Daily_last,Reco_Weekly,RSI,MACD,PAR,Stoch_K,Stoch_D,ADX,CCI20,AO,Mom,MACD_macd,MACD_signal,UO,P_SAR,TrailingEps,ForwardEps,Stock,Category,LotSize,ShortInterest,RecommdationMean,FutureLotValue,RecommadationKey,totalCashPerShare,earningsGrowth,currentRatio,returnOnAssets,returnOnEquity,debtToEquity,quickRatio
Industrials,CAT,NEUTRAL,STRONG_SELL,178.29,178.76,237.9,173.72,14.957214,12.798994,0.58,5.572259,0.005,0.7065,2022-07-28 06:30:00,SELL - 4|14|8,SELL - 2|14|10,BUY - 10|6|10,SELL - 3|13|10,Bearish : 29.69,BUY,SELL,Oversold : 19.71,Bullish : 20.35,Strong Trend : 33.24,Bearish : -100.78,Bearish : -17.61,Bearish : -7.19,Bearish : -6.83,Bearish : -6.87,38.87,191.72,11.92,13.93,Caterpillar. Inc.,Watchlist,100,2.01,2.4,17829.0,buy,12.14,0.032,1.441,0.06301,0.38554,219.828,0.863
SPDR S&P Oil & Gas Explor & Pro,XOP,NEUTRAL,SELL,120.92,119.48,170.62,71.48,2.7884881,-12092,,,,,,SELL - 4|13|9,SELL - 4|13|9,STRONG_BUY - 16|0|10,NEUTRAL - 9|9|8,Bearish : 34.55,BUY,SELL,Oversold : 19.96,Oversold : 19.89,Strong Trend : 37.91,Bearish : -85.26,Bearish : -17.56,Bearish : -0.96,Bearish : -6.38,Bearish : -6.65,40.34,131.67,,,SPDR S&P Oil & Gas Explor & Pro,Index,100,,,12092.0,,,,,,,,
SPDR S&P Telecom ETF,XTL,SELL,STRONG_SELL,78.19,77.77,103.94,74.18,,,,,,,,SELL - 4|13|9,SELL - 3|13|10,NEUTRAL - 7|9|10,SELL - 3|15|8,Neutral : 46.33,SELL,SELL,Oversold : 17.32,Bullish : 20.4,Weak Trend : 17.34,Neutral : -26.96,Bearish : -0.92,Bearish : -2.44,Bearish : -0.49,Bearish : -0.46,40.59,80.62,,,SPDR S&P Telecom ETF,Index,100,,,7819.0,,,,,,,,
SPDR Select Sector Fund - Consu,XLY,SELL,STRONG_SELL,140.01,137.48,215.06,133.04,2.1581502,,,,,,,SELL - 4|13|9,SELL - 3|13|10,SELL - 2|14|10,SELL - 2|15|9,Neutral : 46.34,SELL,SELL,Bullish : 28.35,Bullish : 24.65,Weak Trend : 19.39,Neutral : -29.44,Bearish : -3.3,Bearish : -6.98,Bearish : -1.34,Bearish : -1.29,50.76,145.33,,,SPDR Select Sector Fund - Consu,Index,100,,,14001.0,,,,,,,,
Financial Services,COF,NEUTRAL,STRONG_SELL,106.82,104.19,177.95,98.54,3.9949138,5.531849,-0.84,0.797694,-0.277,0.93272,2022-04-25 00:00:00,SELL - 4|13|9,SELL - 2|14|10,SELL - 5|11|10,SELL - 3|14|9,Neutral : 45.13,BUY,SELL,Bullish : 33.42,Bullish : 29.53,Weak Trend : 18.71,Neutral : -14.88,Bearish : -3.87,Bearish : -3.28,Bearish : -1.83,Bearish : -2.13,45.58,112.68,26.739,19.31,Capital One Financial Corporati,Watchlist,100,2.01,2.2,10682.0,buy,67.178,-0.2,,0.026689999,0.19518,,
Technology,CTSH,NEUTRAL,STRONG_SELL,68.03,67.49,93.47,65.24,19.190409,15.050885,1.55,3.0933974,0.823,0.94297,2022-02-01 00:00:00,SELL - 4|12|10,SELL - 3|14|9,SELL - 3|13|10,SELL - 4|15|7,Neutral : 45.35,BUY,SELL,Bullish : 21.28,Bullish : 24.62,Weak Trend : 23.29,Neutral : -25.35,Bearish : -0.89,Bearish : -2.25,Bearish : -0.52,Bearish : -0.58,50.97,70.37,3.545,4.52,Cognizant Technology Solutions ,Watchlist,100,2.01,2.4,6803.0,buy,5.184,0.853,2.08,0.1009,0.18722999,13.802,1.866
Financial Services,STT,NEUTRAL,STRONG_SELL,63.38,61.65,104.87,60.54,9.338441,7.527316,0.77,0.91457427,0.164,0.91837996,2022-04-14 00:00:00,SELL - 4|12|10,SELL - 3|14|9,NEUTRAL - 7|9|10,SELL - 3|15|8,Neutral : 45.78,BUY,SELL,Bullish : 31.49,Bullish : 29.0,Weak Trend : 14.7,Neutral : -25.16,Bearish : -1.83,Bearish : -2.89,Bearish : -0.77,Bearish : -0.79,47.22,66.5,6.787,8.42,State Street Corporation,Watchlist,100,1.76,2.3,6338.0,buy,314.149,0.146,,0.0086900005,0.10845,,
Financial Services,C,NEUTRAL,STRONG_SELL,46.87,45.99,74.64,45.26,4.4392877,5.9707007,-0.7,0.50854445,-0.458,0.79602,2022-07-15 00:00:00,SELL - 4|12|10,SELL - 2|15|9,BUY - 11|6|9,STRONG_SELL - 1|16|9,Neutral : 45.87,BUY,SELL,Bullish : 30.3,Bullish : 27.87,Weak Trend : 14.56,Neutral : -31.36,Bearish : -1.06,Bearish : -0.99,Bearish : -0.53,Bearish : -0.58,50.48,48.88,10.558,7.85,Citigroup. Inc.,BullSpread,100,1.94,2.4,4687.0,buy,502.34,-0.443,,0.0078,0.09146,,
Healthcare,VTRS,SELL,STRONG_SELL,10.71,10.47,15.6,9.66,,2.8790321,-2.4,0.6126652,,0.75393,2021-11-08 00:00:00,SELL - 4|12|10,SELL - 2|14|10,BUY - 13|3|10,SELL - 3|13|10,Neutral : 46.38,SELL,SELL,Bullish : 26.47,Oversold : 19.54,Weak Trend : 19.62,Neutral : -20.09,Bearish : -0.26,Bearish : -0.26,Bearish : -0.11,Bearish : -0.11,41.79,11.14,-1.715,3.72,Viatris Inc.,Watchlist,100,1.85,2.6,1071.0,hold,0.653,,1.103,0.03186,-0.05842,113.982,0.512
Financial Services,LMND,SELL,STRONG_SELL,18.73,18.26,107.36,15.99,,-4.1901565,0.2,1.1011816,,0.37396,2022-02-28 00:00:00,SELL - 3|15|8,SELL - 4|12|10,NEUTRAL - 7|9|10,SELL - 4|11|9,Neutral : 49.18,SELL,SELL,Bullish : 43.77,Bullish : 37.43,Weak Trend : 15.44,Neutral : -1.34,Bearish : -0.2,Bearish : -1.25,Bearish : -0.09,Bearish : -0.07,46.05,19.96,-3.414,-4.47,Lemonade. Inc.,Watchlist,100,12.11,3.2,1873.0,hold,6.176,,1.604,-0.12483,-0.31559,2.257,1.08
Technology,U,STRONG_SELL,STRONG_SELL,37.54,36.82,210.0,29.09,,-288.76926,-2.02,5.4524326,,0.75427,2022-02-02 00:00:00,SELL - 3|15|8,SELL - 3|13|10,SELL - 2|14|10,SELL - 1|11|10,Bearish : 43.79,SELL,SELL,Oversold : 10.48,Oversold : 12.01,Weak Trend : 16.58,Bearish : -64.35,Bearish : -1.21,Bearish : -9.26,Bearish : -0.37,Bullish : 0.19,37.66,44.75,-1.633,-0.13,Unity Software Inc.,Watchlist,100,4.09,1.8,3754.0,buy,5.907,,3.439,-0.07788,-0.24037,75.982,3.321
Technology,INTC,STRONG_SELL,STRONG_SELL,36.34,37.41,57.46,35.88,6.036545,10.150838,3.31,1.4407486,1.414,0.63824004,2022-07-20 20:00:00,SELL - 3|15|8,SELL - 2|15|9,SELL - 2|14|10,SELL - 3|15|8,Bearish : 34.35,SELL,SELL,Oversold : 17.51,Bullish : 25.29,Weak Trend : 22.04,Bearish : -164.26,Bearish : -1.23,Bearish : -2.27,Bearish : -0.74,Bearish : -0.72,41.64,38.63,6.02,3.58,Intel Corporation,Watchlist,100,2.32,2.9,3634.0000000000005,hold,9.463,1.415,2.134,0.07382,0.26915002,36.114,1.588
Technology,NVDA,STRONG_SELL,STRONG_SELL,145.23,151.59,346.47,143.92,38.946095,22.51628,1.22,13.816954,-0.154,0.65971,2022-08-16 10:59:00,SELL - 3|15|8,SELL - 2|15|9,SELL - 3|13|10,SELL - 2|14|10,Bearish : 31.58,SELL,SELL,Oversold : 5.86,Oversold : 10.61,Weak Trend : 21.38,Bearish : -163.66,Bearish : -13.55,Bearish : -26.16,Bearish : -5.64,Bearish : -4.08,38.45,166.74,3.729,6.45,NVIDIA Corporation,Watchlist,100,0.54,2,14522.999999999998,buy,8.135,-0.158,5.317,0.18593,0.41948003,45.008,4.634
Consumer Cyclical,DKNG,STRONG_SELL,STRONG_SELL,11.77,11.67,64.58,9.77,,-4.784553,0.44,2.6126525,,,2022-02-24 00:00:00,SELL - 3|15|8,SELL - 2|15|9,NEUTRAL - 9|7|10,SELL - 2|12|10,Bearish : 41.91,SELL,SELL,Oversold : 8.66,Oversold : 12.16,Weak Trend : 16.87,Bearish : -86.41,Bearish : -0.61,Bearish : -2.4,Bearish : -0.21,Bearish : -0.07,39.25,13.97,-3.618,-2.46,DraftKings Inc.,Watchlist,100,2.15,2.3,1177.0,buy,5.268,,2.962,-0.25576,-0.70684,78.557,2.366
Technology,ACN,SELL,STRONG_SELL,280.65,277.65,417.37,268.17,29.19484,26.856459,2.05,8.715838,0.135,0.74403,2022-03-16 00:00:00,SELL - 3|15|8,SELL - 2|14|10,SELL - 3|13|10,SELL - 2|14|10,Bearish : 44.92,SELL,SELL,Oversold : 16.09,Oversold : 14.91,Weak Trend : 17.4,Neutral : -43.69,Bearish : -5.39,Bearish : -18.98,Bearish : -2.09,Bearish : -1.39,48.89,295.96,9.613,10.45,Accenture plc,Watchlist,100,1.62,,28064.999999999996,none,8.639,0.139,1.235,0.12712,0.32422,16.794,1.098
Technology,AFRM,STRONG_SELL,STRONG_SELL,17.19,18.06,176.65,13.64,,-14.325,0.29,2.0081775,,0.81068003,2022-02-09 00:00:00,SELL - 3|15|8,SELL - 2|14|10,SELL - 4|13|9,SELL - 1|11|10,Bearish : 36.35,SELL,SELL,Oversold : 5.85,Oversold : 7.65,Weak Trend : 20.3,Bearish : -118.24,Bearish : -1.72,Bearish : -6.08,Bearish : -0.85,Bearish : -0.51,34.81,22.46,-3.626,-1.2,Affirm Holdings. Inc.,Watchlist,100,2.34,2.6,1719.0000000000002,hold,9.026,,27.556,-0.08665,-0.50303,164.928,24.526
Technology,SONY,STRONG_SELL,STRONG_SELL,81.68,81.77,133.75,79.94,12.493117,12.118695,1.81,0.014320707,0.114,0.07928,,SELL - 3|15|8,SELL - 1|15|10,NEUTRAL - 8|10|8,STRONG_SELL - 1|16|9,Bearish : 36.12,SELL,SELL,Bullish : 26.2,Bullish : 27.47,Weak Trend : 23.79,Bearish : -134.55,Bearish : -3.05,Bearish : -3.97,Bearish : -1.28,Bearish : -1.19,50.64,84.7,6.538,6.74,Sony Group Corporation,Watchlist,100,1.1,1.2,8168.000000000001,strong_buy,890.114,0.113,0.645,0.02392,0.15341,38.699,0.485
VanEck Semiconductor ETF,SMH,STRONG_SELL,STRONG_SELL,195.99,203.73,318.82,193.62,,,,,,,,SELL - 3|15|8,SELL - 1|15|10,SELL - 3|13|10,SELL - 2|14|10,Bearish : 30.69,SELL,SELL,Oversold : 10.3,Oversold : 16.2,Strong Trend : 25.1,Bearish : -183.63,Bearish : -12.31,Bearish : -20.2,Bearish : -5.53,Bearish : -4.67,38.63,215.42,,,VanEck Semiconductor ETF,Index,100,,,19599.0,,,,,,,,
Technology,MU,STRONG_SELL,STRONG_SELL,53.65,55.28,98.45,51.4,8.303668,4.6611643,0.24,1.3077073,2.753,0.82324,2022-03-29 00:00:00,SELL - 3|14|9,STRONG_SELL - 1|16|9,SELL - 3|14|9,STRONG_SELL - 1|16|9,Bearish : 32.22,SELL,SELL,Oversold : 19.51,Bullish : 20.85,Strong Trend : 31.92,Bearish : -149.16,Bearish : -4.14,Bearish : -4.82,Bearish : -1.99,Bearish : -1.96,43.34,59.39,6.461,11.51,Micron Technology. Inc.,Cash,100,1.07,1.9,5365.0,buy,9.064,2.774,3.108,0.11111,0.20391001,16.029,2.241
Consumer Cyclical,F,STRONG_SELL,STRONG_SELL,11.32,11.13,25.87,10.9,15.876577,5.688442,0.09,1.2362127,,0.59564996,2022-04-26 00:00:00,SELL - 3|14|9,STRONG_SELL - 1|16|9,SELL - 3|13|10,SELL - 3|14|9,Bearish : 39.06,SELL,SELL,Oversold : 18.38,Oversold : 17.79,Weak Trend : 23.7,Bearish : -71.35,Bearish : -0.7,Bearish : -0.7,Bearish : -0.29,Bearish : -0.28,40.32,12.24,0.713,1.99,Ford Motor Company,Watchlist,100,1.72,2.8,1132.0,hold,7.118,,1.175,0.02266,0.29166,300.774,0.963
Consumer Cyclical,ROST,STRONG_SELL,STRONG_SELL,71.38,70.23,127.58,69.24,15.986561,13.317163,0.49,6.338128,0.541,0.88989997,2022-02-28 00:00:00,SELL - 3|14|9,SELL - 5|14|7,SELL - 3|14|9,STRONG_SELL - 0|16|10,Bearish : 37.42,SELL,SELL,Oversold : 15.66,Oversold : 12.78,Weak Trend : 23.42,Bearish : -94.14,Bearish : -4.24,Bearish : -6.18,Bearish : -1.81,Bearish : -1.66,44.8,78.04,4.465,5.36,Ross Stores. Inc.,Watchlist,100,2.12,2.2,7138.0,buy,14.028,0.575,1.773,0.11063,0.46869,138.475,1.199
Consumer Cyclical,GPS,STRONG_SELL,STRONG_SELL,8.49,8.24,33.45,8.17,6.4172335,4.2878785,0.47,1.1392914,,0.61855,2022-03-02 00:00:00,SELL - 3|14|9,SELL - 4|14|8,SELL - 5|14|7,SELL - 3|14|9,Bearish : 39.08,SELL,SELL,Oversold : 13.86,Oversold : 13.72,Strong Trend : 28.73,Bearish : -90.44,Bearish : -0.71,Bearish : -0.97,Bearish : -0.32,Bearish : -0.31,41.14,9.37,1.323,1.98,Gap. Inc. (The),Watchlist,100,2.15,2.8,849.0,hold,2.372,,1.267,0.03859,0.09595,229.647,0.313
Consumer Cyclical,HMC,STRONG_SELL,STRONG_SELL,24.21,24.15,33.42,23.73,5.438005,7.8859935,,0.0043967827,-0.321,0.05051,,SELL - 3|14|9,SELL - 3|14|9,SELL - 1|15|10,STRONG_SELL - 0|16|10,Bearish : 42.47,SELL,SELL,Bullish : 24.94,Bullish : 21.98,Weak Trend : 12.95,Bearish : -92.54,Bearish : -0.5,Bearish : -0.84,Bearish : -0.18,Bearish : -0.12,49.38,25.03,4.452,3.07,Honda Motor Company. Ltd.,Cash,100,1.19,1,2421.0,strong_buy,1810.993,-0.317,1.376,0.0257,0.09024,78.762,0.984
Basic Materials,MT,NEUTRAL,STRONG_SELL,22.89,22.6,37.87,21.89,2.1952622,2.7056737,-0.11,0.47173506,2.351,0.06084,2017-02-21 00:00:00,SELL - 3|14|9,SELL - 3|14|9,BUY - 13|4|9,SELL - 3|14|9,Bearish : 29.11,BUY,SELL,Bullish : 27.62,Bullish : 24.0,Strong Trend : 44.87,Bearish : -86.92,Bearish : -3.08,Bearish : -1.06,Bearish : -1.34,Bearish : -1.42,49.26,24.66,10.427,8.46,Arcelor Mittal NY Registry Shar,Cash,100,1.45,1.8,2289.0,buy,4.627,2.892,1.446,0.12109,0.33992,16.362,0.444
Consumer Cyclical,PTRA,STRONG_SELL,STRONG_SELL,4.63,4.64,17.25,4.35,,-8.735849,0.03,1.3949986,,0.58987,2021-11-10 00:00:00,SELL - 3|14|9,SELL - 3|14|9,NEUTRAL - 7|9|10,SELL - 1|12|9,Bearish : 33.49,SELL,SELL,Oversold : 16.82,Oversold : 13.75,Weak Trend : 23.69,Bearish : -78.48,Bearish : -0.92,Bearish : -0.65,Bearish : -0.35,Bearish : -0.3,41.33,5.17,-3.461,-0.53,Proterra Inc,Watchlist,100,5.97,2.3,463.0,buy,2.972,,9.641,-0.114209995,-0.62925,18.903,8.091
Invesco QQQ Trust. Series 1,QQQ,SELL,STRONG_SELL,282.13,280.28,408.71,269.28,3.3117347,,,,,,,SELL - 3|14|9,SELL - 3|13|10,SELL - 3|13|10,SELL - 5|12|9,Neutral : 45.33,SELL,SELL,Bullish : 22.23,Bullish : 24.14,Weak Trend : 19.97,Neutral : -42.29,Bearish : -4.28,Bearish : -12.86,Bearish : -2.0,Bearish : -1.9,51.7,293.63,,,Invesco QQQ Trust. Series 1,Index,100,,,28213.0,,,,,,,,
SPDR S&P Metals & Mining ETF,XME,STRONG_SELL,STRONG_SELL,43.61,43.4,66.63,38.65,,,,,,,,SELL - 3|14|9,SELL - 2|16|8,NEUTRAL - 8|8|10,SELL - 5|12|9,Bearish : 35.58,SELL,SELL,Oversold : 19.48,Bullish : 20.55,Strong Trend : 31.22,Bearish : -100.79,Bearish : -3.83,Bearish : -2.5,Bearish : -1.58,Bearish : -1.57,45.09,47.33,,,SPDR S&P Metals & Mining ETF,Index,100,,,4361.0,,,,,,,,
Financial Services,PYPL,STRONG_SELL,STRONG_SELL,71.4,69.84,310.16,67.58,23.564358,14.875,1.26,4.023442,-0.536,0.75191003,2022-07-26 10:59:00,SELL - 3|14|9,SELL - 2|14|10,SELL - 4|12|10,SELL - 2|14|10,Bearish : 41.76,SELL,SELL,Bullish : 27.14,Bullish : 23.87,Weak Trend : 22.67,Bearish : -73.76,Bearish : -4.75,Bearish : -6.25,Bearish : -1.87,Bearish : -1.83,52.24,75.13,3.03,4.8,PayPal Holdings. Inc.,bearPut,100,1.77,2.1,7140.000000000001,buy,6.878,-0.533,1.191,0.03339,0.17885,48.668,0.201
Consumer Cyclical,PII,SELL,STRONG_SELL,101.03,99.28,139.79,94.24,10.567991,10.298675,0.67,5.060609,-0.479,0.90109,2022-04-25 00:00:00,SELL - 3|14|9,SELL - 2|14|10,NEUTRAL - 7|10|9,SELL - 1|15|10,Neutral : 46.67,SELL,SELL,Oversold : 17.11,Oversold : 17.86,Weak Trend : 15.85,Neutral : -46.82,Bearish : -1.79,Bearish : -6.46,Bearish : -0.38,Bullish : 0.09,44.51,108.13,9.56,9.81,Polaris Inc.,Watchlist,100,6.51,2.2,10103.0,buy,6.355,-0.46,1.18,0.08031999,0.39421,190.862,0.281
Consumer Cyclical,GM,NEUTRAL,NEUTRAL,32.19,31.76,67.21,30.65,4.308083,4.713031,1.74,0.8916898,-0.027,0.84573,2022-02-08 00:00:00,SELL - 3|14|9,BUY - 13|3|10,SELL - 2|14|10,STRONG_SELL - 1|16|9,Bearish : 39.91,SELL,SELL,Oversold : 13.42,Oversold : 16.11,Weak Trend : 15.55,Bearish : -74.42,Bearish : -1.45,Bearish : -2.64,Bearish : -0.62,Bearish : -0.54,41.04,35.37,7.472,6.83,General Motors Company,Call,100,1.78,1.9,3219.0,buy,14.922,-0.335,1.114,0.02614,0.1603,165.443,0.838
Technology,GLW,SELL,STRONG_SELL,31.91,31.51,43.47,30.7,31.78287,13.754311,0.69,2.199173,-0.03,0.70304,2022-04-25 00:00:00,SELL - 3|13|10,STRONG_SELL - 1|16|9,SELL - 3|14|9,SELL - 2|15|9,Bearish : 43.61,SELL,SELL,Bullish : 25.7,Bullish : 23.39,Weak Trend : 21.98,Neutral : -49.9,Bearish : -0.87,Bearish : -0.86,Bearish : -0.37,Bearish : -0.37,52.86,33.56,1.004,2.32,Corning Incorporated,Watchlist,100,2.13,2,3191.0,buy,2.438,0.019,1.553,0.04919,0.14419,55.301,0.776
Financial Services,AXP,NEUTRAL,NEUTRAL,140.4,138.62,199.55,134.3,14.025973,12.457851,1.01,4.735883,-0.061,0.87377,2022-07-22 12:30:00,SELL - 3|13|10,STRONG_BUY - 16|0|10,SELL - 5|11|10,SELL - 3|14|9,Bearish : 39.14,BUY,SELL,Bullish : 32.79,Bullish : 27.98,Weak Trend : 22.21,Bearish : -71.78,Bearish : -7.73,Bearish : -5.77,Bearish : -3.35,Bearish : -3.6,47.66,147.37,10.01,11.27,American Express Company,Watchlist,100,3.31,2.3,14040.0,buy,34.157,-0.004,1.63,0.040749997,0.3384,181.374,1.609
Energy,MPC,NEUTRAL,SELL,84.48,82.21,114.35,50.19,5.9300857,20.018959,0.55,1.8580918,1.716,0.82037,2022-01-31 00:00:00,SELL - 3|13|10,SELL - 6|12|8,STRONG_BUY - 17|0|9,NEUTRAL - 8|9|9,Bearish : 36.49,BUY,SELL,Bullish : 22.44,Oversold : 17.06,Strong Trend : 31.94,Bearish : -73.5,Bearish : -11.04,Bearish : -1.21,Bearish : -3.8,Bearish : -3.98,41.1,89.11,14.246,4.22,Marathon Petroleum Corporation,Watchlist,100,2.92,1.8,8448.0,buy,19.177,1.917,1.704,0.02754,0.08003,80.117,1.222
Industrials,DE,NEUTRAL,STRONG_SELL,301.63,299.47,446.76,294.29,15.883623,12.007564,1.06,5.0416193,-0.262,0.8085,2022-02-17 00:00:00,SELL - 3|13|10,SELL - 4|14|8,SELL - 3|14|9,SELL - 4|13|9,Bearish : 36.31,BUY,SELL,Bullish : 21.4,Oversold : 18.36,Weak Trend : 22.18,Bearish : -72.64,Bearish : -20.91,Bearish : -9.24,Bearish : -9.05,Bearish : -9.25,42.19,317.52,18.99,25.12,Deere & Company,Watchlist,100,1.54,2.3,30163.0,buy,12.406,-0.245,2.311,0.05925,0.35397997,268.357,1.982
Energy,EOG,NEUTRAL,SELL,111.62,110.44,147.99,62.81,21.519184,11.297571,0.77,3.0000536,4.89,0.90667,2022-02-23 00:00:00,SELL - 3|13|10,SELL - 4|13|9,STRONG_BUY - 17|0|9,NEUTRAL - 9|9|8,Bearish : 39.7,BUY,SELL,Bullish : 35.48,Bullish : 37.92,Strong Trend : 28.48,Neutral : -41.13,Bearish : -10.63,Bullish : 1.0,Bearish : -4.04,Bearish : -4.6,41.43,120.35,5.187,9.88,EOG Resources. Inc.,Watchlist,100,2.09,2.1,11162.0,buy,8.898,4.838,2.124,0.10329001,0.21957001,26.632,1.866
SPDR Select Sector Fund - Energ,XLE,NEUTRAL,SELL,72.58,71.51,93.31,45.14,4.5396547,,,,,,,SELL - 3|13|10,SELL - 4|13|9,STRONG_BUY - 17|0|9,NEUTRAL - 10|8|8,Bearish : 38.59,BUY,SELL,Bullish : 33.47,Bullish : 34.2,Strong Trend : 34.38,Neutral : -47.23,Bearish : -6.52,Bullish : 1.0,Bearish : -2.48,Bearish : -2.82,43.74,76.48,,,SPDR Select Sector Fund - Energ,Index,100,,,7258.0,,,,,,,,
iShares U.S. Energy ETF,IYE,NEUTRAL,SELL,38.62,38.12,49.31,24.49,14.853847,,,,,,,SELL - 3|13|10,SELL - 4|13|9,STRONG_BUY - 17|0|9,BUY - 11|7|8,Bearish : 39.15,BUY,SELL,Bullish : 32.23,Bullish : 33.39,Strong Trend : 32.58,Neutral : -48.11,Bearish : -3.17,Bullish : 0.4,Bearish : -1.21,Bearish : -1.37,44.27,40.76,,,iShares U.S. Energy ETF,Index,100,,,3861.9999999999995,,,,,,,,
Basic Materials,CF,NEUTRAL,SELL,85.28,85.73,113.49,43.19,61.7971,8.360785,0.08,6.217556,7.103,0.94155,2022-02-15 00:00:00,SELL - 3|13|10,SELL - 4|12|10,BUY - 13|4|9,NEUTRAL - 10|8|8,Bearish : 42.97,BUY,SELL,Bullish : 48.03,Bullish : 50.94,Weak Trend : 15.6,Neutral : -37.72,Bearish : -2.44,Bullish : 1.92,Bearish : -1.39,Bearish : -1.62,47.87,89.42,1.38,10.2,CF Industries Holdings. Inc.,Watchlist,100,1.43,2.4,8528.0,buy,7.853,7.173,1.811,0.114659995,0.21651,61.564,1.484
Materials Select Sector SPDR,XLB,NEUTRAL,STRONG_SELL,74.12,73.6,92.31,72.19,2.9181104,,,,,,,SELL - 3|13|10,SELL - 3|15|8,NEUTRAL - 7|9|10,SELL - 4|13|9,Bearish : 37.5,BUY,SELL,Bullish : 29.7,Bullish : 29.03,Strong Trend : 38.19,Bearish : -66.56,Bearish : -3.44,Bearish : -2.35,Bearish : -1.54,Bearish : -1.73,52.43,76.26,,,Materials Select Sector SPDR,Index,100,,,7412.0,,,,,,,,
