Sector,Symbol,Rule,Trend,Price,PreviousClose,52WeekHigh,52WeekLow,TrailingPE,ForwardPE,pegRatio,PriceToBook,EarningsQuarterlyGrowth,Institutions_pct,Earning_Date,Reco_4_hrs,Reco_Daily,Reco_Daily_last,Reco_Weekly,RSI,MACD,PAR,Stoch_K,Stoch_D,ADX,CCI20,AO,Mom,MACD_macd,MACD_signal,UO,P_SAR,TrailingEps,ForwardEps,Stock,Category,LotSize,ShortInterest,RecommdationMean,FutureLotValue,RecommadationKey,totalCashPerShare,earningsGrowth,currentRatio,returnOnAssets,returnOnEquity,debtToEquity,quickRatio
Financial Services,CB,NEUTRAL,NEUTRAL,197.92,196.58,218.99,157.19,10.062023,13.696886,0.81,1.4376616,-0.142,0.91293,2022-04-25 00:00:00,NEUTRAL - 9|7|10,NEUTRAL - 9|7|10,BUY - 13|3|10,NEUTRAL - 10|9|7,Bullish  : 56.2,BUY,BUY,Overbrought : 91.37,Overbrought : 86.56,Weak Trend : 19.14,Bullish  : 118.78,Bearish : -0.62,Bullish : 3.6,Bearish : -0.59,Bearish : -1.77,55.94,191.73,19.67,14.45,Chubb Limited,Watchlist,100,1.55,,19792.0,none,12.133,-0.095,0.345,0.024719998,0.14187999,35.35,0.147
Energy,ENB,BUY,NEUTRAL,42.66,42.26,47.67,36.21,19.155815,17.701244,3.17,1.5905448,0.033,0.54285,2022-02-10 00:00:00,NEUTRAL - 9|7|10,BUY - 11|5|10,BUY - 14|2|10,NEUTRAL - 9|8|9,Neutral : 50.68,BUY,BUY,Bullish : 76.02,Bullish : 72.92,Strong Trend : 27.52,Bullish  : 91.61,Bearish : -0.54,Bullish : 0.86,Bearish : -0.27,Bearish : -0.51,58.09,41.71,2.227,2.41,Enbridge Inc,Watchlist,100,5.76,2.3,4266.0,buy,0.173,0.035,0.491,0.03026,0.098859996,120.824,0.358
Utilities,NRG,NEUTRAL,NEUTRAL,38.84,38.17,47.82,34.7,3.8933442,10.497297,0.3,2.3313324,,1.01571,2022-02-28 00:00:00,NEUTRAL - 8|9|9,SELL - 4|12|10,STRONG_BUY - 16|0|10,SELL - 6|10|10,Neutral : 49.0,BUY,BUY,Bullish : 77.12,Bullish : 73.55,Strong Trend : 28.51,Bullish  : 110.2,Bearish : -1.19,Bullish : 0.51,Bearish : -0.65,Bearish : -1.03,54.2,37.09,9.976,3.7,NRG Energy. Inc.,Watchlist,100,4.71,2.5,3884.0000000000005,buy,1.032,,1.37,0.12246,0.82841,230.194,0.506
SPDR S&P 500,SPY,NEUTRAL,NEUTRAL,381.24,377.25,479.98,362.17,2.6455157,,,,,,,NEUTRAL - 8|8|10,SELL - 4|13|9,SELL - 5|11|10,SELL - 6|12|8,Neutral : 48.1,BUY,SELL,Bullish : 31.1,Bullish : 32.98,Weak Trend : 23.04,Neutral : 12.61,Bearish : -4.04,Bearish : -8.85,Bearish : -2.12,Bearish : -2.69,53.99,388.71,,,SPDR S&P 500,Index,100,,,38124.0,,,,,,,,
Technology,MSFT,NEUTRAL,NEUTRAL,259.58,256.83,349.67,241.51,27.096033,24.169458,1.71,11.922104,0.082,0.71844,2022-07-25 10:59:00,NEUTRAL - 8|8|10,NEUTRAL - 8|9|9,SELL - 5|11|10,SELL - 3|13|10,Neutral : 51.91,BUY,SELL,Bullish : 35.6,Bullish : 38.83,Weak Trend : 15.76,Neutral : 17.46,Bullish : 1.53,Bearish : -8.37,Bullish : 0.31,Bullish : 0.22,55.29,264.69,9.58,10.74,Microsoft Corporation,Cash,100,1.58,1.7,25958.0,buy,13.994,0.094,1.988,0.15674,0.48721,47.863,1.773
Healthcare,CAH,NEUTRAL,NEUTRAL,53.1,52.27,64.53,45.85,13.706762,8.564516,2.89,10.825687,-0.922,0.90212,2022-02-03 00:00:00,NEUTRAL - 7|9|10,SELL - 2|15|9,BUY - 15|2|9,SELL - 3|14|9,Neutral : 50.0,SELL,SELL,Bullish : 28.37,Bullish : 33.81,Weak Trend : 23.12,Neutral : 0.43,Bullish : 0.29,Bearish : -1.32,Bullish : 0.01,Bullish : 0.04,46.52,54.74,3.874,6.2,Cardinal Health. Inc.,Watchlist,100,2.69,2.8,5310.0,hold,11.409,-0.92,1.149,0.026199998,0.37353,563.174,0.453
Consumer Cyclical,NIO,NEUTRAL,NEUTRAL,21.36,21.72,51.74,11.67,,-92.86957,1742.27,1.3912591,,0.37217,2022-04-27 00:00:00,NEUTRAL - 10|7|9,BUY - 11|6|9,SELL - 2|15|9,SELL - 6|9|9,Neutral : 50.61,SELL,SELL,Bullish : 21.4,Bullish : 26.32,Weak Trend : 23.07,Bearish : -86.11,Bullish : 0.8,Bearish : -2.71,Bullish : 0.51,Bullish : 0.86,53.36,23.65,-1.016,-0.23,NIO Inc.,Watchlist,100,1.09,1.7,2136.0,buy,31.758,,2.18,-0.04087,-0.30328,52.96,1.963
Technology,IBM,NEUTRAL,NEUTRAL,141.12,141.19,144.73,114.56,23.176218,13.5302,1.1,6.662889,-0.232,0.56959,2022-07-18 20:00:00,BUY - 15|2|9,STRONG_SELL - 1|16|9,BUY - 15|2|9,BUY - 15|2|9,Bullish  : 55.59,SELL,SELL,Bullish : 56.19,Bullish : 60.9,Weak Trend : 13.49,Neutral : 31.2,Bullish : 2.1,Bearish : -0.97,Bullish : 0.95,Bullish : 0.98,49.45,143.77,6.089,10.43,International Business Machines,Watchlist,100,4.62,2.6,14112.0,hold,11.656,-0.239,0.92,0.02713,0.24476999,301.104,0.726
Communication Services,BIDU,NEUTRAL,STRONG_BUY,151.49,148.73,191.7,101.62,24.96128,16.945192,67.7,0.24886607,-0.669,0.4901,2022-02-15 00:00:00,BUY - 15|2|9,STRONG_BUY - 16|1|9,SELL - 3|14|9,BUY - 12|5|9,Bullish  : 58.08,SELL,SELL,Bullish : 51.38,Bullish : 48.83,Strong Trend : 35.05,Neutral : 45.24,Bullish : 3.57,Bullish : 0.14,Bullish : 2.47,Bullish : 2.75,48.27,156.16,6.069,8.94,Baidu. Inc.,Cash,100,1.45,1.9,15149.0,buy,522.273,-0.729,2.864,0.01874,0.036510002,40.86,2.622
Consumer Cyclical,MCD,NEUTRAL,NEUTRAL,252.96,246.88,271.15,217.68,26.711721,23.531164,3.26,,-0.282,0.69701,2022-07-26 12:30:00,BUY - 15|2|9,SELL - 7|11|8,SELL - 7|10|9,STRONG_BUY - 17|0|9,Bullish  : 66.33,BUY,BUY,Overbrought : 90.79,Overbrought : 85.9,Weak Trend : 15.72,Bullish  : 138.78,Bullish : 6.05,Bullish : 5.05,Bullish : 2.18,Bullish : 1.28,65.25,245.45,9.47,10.75,McDonald's Corporation,Watchlist,100,2.39,2,25296.0,buy,3.188,-0.278,1.1,0.12434,,,0.952
SPDR Select Sector Fund - Healt,XLV,STRONG_BUY,STRONG_BUY,129.68,128.24,143.42,118.75,4.1609445,,,,,,,BUY - 15|2|9,BUY - 12|4|10,NEUTRAL - 8|8|10,BUY - 10|7|9,Bullish  : 61.3,BUY,SELL,Bullish : 71.63,Bullish : 72.62,Weak Trend : 21.79,Bullish  : 69.9,Bullish : 2.77,Bullish : 0.47,Bullish : 0.87,Bullish : 0.56,65.52,129.98,,,SPDR Select Sector Fund - Healt,Index,100,,,12968.0,,,,,,,,
Healthcare,PFE,STRONG_BUY,STRONG_BUY,52.31,52.43,61.71,38.93,14.941446,1.0582643,-9.15,3.8776875,3.011,0.69549006,2022-05-02 00:00:00,BUY - 15|1|10,STRONG_BUY - 16|1|9,BUY - 15|3|8,BUY - 15|2|9,Bullish  : 59.58,BUY,BUY,Overbrought : 81.5,Overbrought : 85.05,Weak Trend : 21.45,Bullish  : 80.86,Bullish : 1.79,Bullish : 0.71,Bullish : 0.54,Bullish : 0.27,60.91,51.25,3.501,49.43,Pfizer. Inc.,Watchlist,100,2.71,2.3,5231.0,buy,5.526,2.911,1.399,0.09996,0.31870002,53.438,1.097
Consumer Defensive,CLX,STRONG_BUY,BUY,143.9,140.98,191.75,120.5,41.505623,21.574211,-7.03,48.046745,-0.734,0.82019997,2022-04-28 00:00:00,BUY - 15|1|10,BUY - 13|3|10,SELL - 2|14|10,SELL - 6|10|10,Bullish  : 67.18,BUY,BUY,Overbrought : 92.7,Overbrought : 90.59,Strong Trend : 32.87,Bullish  : 90.9,Bullish : 8.68,Bullish : 3.15,Bullish : 2.62,Bullish : 1.7,61.92,139.37,3.467,6.67,Clorox Company (The),Watchlist,100,4.73,3.4,14390.0,hold,1.755,-0.724,0.671,0.069180004,0.27365,657.434,0.302
Technology,CRWD,NEUTRAL,BUY,179.25,168.56,298.48,130.0,,199.16667,1.81,43.349453,,0.72581,2022-03-14 00:00:00,BUY - 14|3|9,BUY - 13|4|9,SELL - 4|12|10,SELL - 5|10|9,Bullish  : 57.28,SELL,BUY,Bullish : 46.16,Bullish : 39.27,Weak Trend : 16.26,Bullish  : 65.09,Bullish : 3.1,Bearish : -5.85,Bullish : 2.49,Bullish : 2.78,62.61,164.56,-0.941,0.9,CrowdStrike Holdings. Inc.,Watchlist,100,3.31,1.6,17925.0,buy,8.652,,1.827,-0.02684,-0.24339001,74.661,1.681
Utilities,UGI,BUY,BUY,39.72,38.61,48.55,33.05,5.7398844,11.716814,2.06,1.5652586,,0.85376,2022-02-01 00:00:00,BUY - 14|2|10,STRONG_BUY - 16|0|10,STRONG_BUY - 18|0|8,NEUTRAL - 7|9|10,Neutral : 52.04,BUY,SELL,Bullish : 53.45,Bullish : 46.03,Strong Trend : 30.92,Bullish  : 85.92,Bearish : -0.91,Bullish : 0.25,Bearish : -0.3,Bearish : -0.45,60.41,39.98,6.92,3.39,UGI Corporation,Watchlist,100,3.22,2.5,3972.0,buy,1.592,,1.329,0.07387,0.21785,132.823,0.782
Healthcare,MRNA,STRONG_BUY,BUY,149.95,142.85,497.49,115.61,8.983345,5.6649036,-0.03,5.99848,,0.63928,2022-02-23 00:00:00,BUY - 14|2|10,BUY - 14|3|9,SELL - 2|14|10,NEUTRAL - 7|7|10,Bullish  : 63.66,BUY,BUY,Overbrought : 83.74,Bullish : 79.22,Weak Trend : 12.72,Bullish  : 122.69,Bullish : 9.39,Bullish : 5.74,Bullish : 3.64,Bullish : 2.78,69.37,135.83,16.692,26.47,Moderna. Inc.,Watchlist,100,2.74,2.5,14994.999999999998,buy,26.626,,1.761,0.51928,1.4607899,6.476,1.536
iShares Biotechnology ETF,IBB,STRONG_BUY,BUY,120.17,117.63,177.37,104.29,2.8724065,,,,,,,BUY - 14|2|10,BUY - 12|4|10,SELL - 6|11|9,SELL - 5|12|9,Bullish  : 63.4,BUY,BUY,Overbrought : 80.88,Bullish : 77.9,Weak Trend : 19.7,Bullish  : 79.28,Bullish : 4.63,Bullish : 0.14,Bullish : 1.71,Bullish : 1.5,67.85,115.96,,,iShares Biotechnology ETF,Index,100,,,12017.0,,,,,,,,
Healthcare,EDIT,NEUTRAL,BUY,12.59,11.83,73.03,9.59,,-3.780781,,1.4512968,,0.66857004,2022-02-23 00:00:00,BUY - 13|5|8,BUY - 11|5|10,SELL - 3|14|9,SELL - 4|12|10,Bullish  : 55.11,SELL,SELL,Bullish : 33.38,Bullish : 33.48,Weak Trend : 14.52,Neutral : 20.86,Bullish : 0.39,Bearish : -0.9,Bullish : 0.21,Bullish : 0.28,54.04,13.39,-3.231,-3.33,Editas Medicine. Inc.,Watchlist,100,8.44,2.6,1259.0,hold,7.301,,10.821,-0.19313,-0.40645,4.764,10.667
Communication Services,RBLX,NEUTRAL,BUY,35.07,32.86,141.6,21.65,,-48.041096,1.37,34.181286,,0.69187,2021-11-08 00:00:00,BUY - 13|4|9,BUY - 12|4|10,SELL - 3|13|10,NEUTRAL - 5|7|10,Bullish  : 60.24,SELL,SELL,Bullish : 56.15,Bullish : 53.18,Weak Trend : 23.88,Bullish  : 58.93,Bullish : 2.97,Bearish : -1.37,Bullish : 1.21,Bullish : 1.23,52.92,37.15,-0.995,-0.73,Roblox Corporation,Watchlist,100,1.54,2.2,3507.0,buy,5.111,,1.73,-0.07619,-1.42756,208.061,1.528
Industrials,BA,NEUTRAL,BUY,139.84,136.72,241.15,113.02,,24.926914,-7.5,,,0.55401003,2022-07-26 12:30:00,BUY - 13|4|9,BUY - 11|5|10,SELL - 4|13|9,SELL - 3|13|10,Bullish  : 56.33,SELL,SELL,Bullish : 48.27,Bullish : 43.91,Weak Trend : 10.32,Bullish  : 71.81,Bullish : 3.16,Bearish : -1.77,Bullish : 1.46,Bullish : 1.53,55.51,146.26,-8.285,5.61,Boeing Company (The),Watchlist,100,0.93,,13984.0,none,20.759,,1.298,-0.0089300005,,,0.292
Consumer Cyclical,BABA,NEUTRAL,BUY,116.0,113.68,216.6,73.28,16.299002,11.983471,400.67,0.32472077,-0.742,0.17965001,2022-01-31 00:00:00,BUY - 13|3|10,BUY - 13|3|10,SELL - 1|15|10,NEUTRAL - 9|7|10,Bullish  : 61.1,SELL,BUY,Bullish : 60.13,Bullish : 61.3,Strong Trend : 35.18,Neutral : 48.63,Bullish : 4.21,Bearish : -1.6,Bullish : 3.18,Bullish : 3.52,55.58,108.42,7.117,9.68,Alibaba Group Holding Limited,Cash,100,1.46,2,11600.0,buy,184.161,-0.739,1.645,0.033239998,0.05293,15.509,1.206
Consumer Cyclical,SBUX,STRONG_BUY,BUY,79.26,76.39,126.32,68.39,21.192514,22.973913,3.38,,0.023,0.70128995,2022-08-02 10:59:00,BUY - 13|3|10,BUY - 12|4|10,SELL - 2|14|10,SELL - 5|11|10,Bullish  : 66.21,BUY,BUY,Bullish : 76.17,Bullish : 65.45,Weak Trend : 23.83,Bullish  : 118.7,Bullish : 1.74,Bullish : 1.13,Bullish : 0.85,Bullish : 0.48,63.15,74.87,3.74,3.45,Starbucks Corporation,Call,100,1.49,2.4,7926.000000000001,buy,3.484,0.036,0.828,0.1067,,,0.58
Consumer Defensive,PG,STRONG_BUY,BUY,146.11,143.79,165.35,129.5,25.543707,23.56613,4.79,7.8545322,0.026,0.65788,2022-07-29 12:30:00,BUY - 13|3|10,BUY - 11|5|10,SELL - 1|15|10,SELL - 5|11|10,Bullish  : 64.14,BUY,BUY,Overbrought : 93.36,Overbrought : 88.14,Weak Trend : 20.09,Bullish  : 103.63,Bullish : 3.76,Bullish : 1.65,Bullish : 1.16,Bullish : 0.49,69.83,141.31,5.72,6.2,Procter & Gamble Company (The),Watchlist,100,2.41,2.4,14611.000000000002,buy,3.554,0.051,0.681,0.09846,0.31604,73.6,0.408
Consumer Defensive,TAL,NEUTRAL,BUY,4.81,4.87,23.4,1.6,,9.25,0.38,0.5962563,,0.65279,2022-04-20 00:00:00,BUY - 12|6|8,BUY - 12|5|9,NEUTRAL - 7|10|9,NEUTRAL - 9|10|7,Neutral : 53.36,SELL,BUY,Bullish : 31.08,Bullish : 36.82,Weak Trend : 21.21,Neutral : -44.32,Bullish : 0.09,Bearish : -0.15,Bullish : 0.08,Bullish : 0.11,52.33,4.61,-0.19,0.52,TAL Education Group,Call,100,1.03,3,480.99999999999994,hold,4.191,,4.023,-0.00796,-0.25293,6.049,3.024
Consumer Defensive,BYND,NEUTRAL,NEUTRAL,25.66,23.94,151.26,20.5,,-8.120253,-0.54,39.782948,,0.61697,2022-08-03 10:59:00,BUY - 12|5|9,STRONG_SELL - 1|16|9,SELL - 2|14|10,SELL - 6|11|7,Bullish  : 55.66,BUY,SELL,Bullish : 50.67,Bullish : 40.93,Weak Trend : 19.17,Bullish  : 85.69,Bullish : 0.09,Bullish : 0.1,Bearish : -0.02,Bearish : -0.1,61.94,26.29,-4.033,-3.16,Beyond Meat. Inc.,Watchlist,100,7.88,3.1,2566.0,hold,8.622,,9.083,-0.104499996,-1.67393,2823.686,5.946
Financial Services,WU,NEUTRAL,NEUTRAL,16.81,16.47,23.68,15.3,8.537329,7.504464,1.4,18.411829,0.613,1.04333,2022-02-08 00:00:00,BUY - 12|5|9,NEUTRAL - 8|8|10,NEUTRAL - 8|8|10,SELL - 2|14|10,Bullish  : 56.2,BUY,SELL,Bullish : 62.93,Bullish : 58.66,Weak Trend : 19.79,Bullish  : 81.46,Bullish : 0.05,Bullish : 0.12,Bullish : -0.0,Bearish : -0.08,57.37,17.05,1.969,2.24,Western Union Company (The),Watchlist,100,9.15,3.1,1680.9999999999998,hold,3.357,0.682,0.449,0.07886,3.2095902,718.396,0.266
Financial Services,SPGI,STRONG_BUY,BUY,343.33,337.06,484.21,311.87,29.599964,23.467531,2.14,44.844563,0.487,0.86981004,2022-04-27 00:00:00,BUY - 12|4|10,BUY - 11|6|9,SELL - 5|12|9,SELL - 4|12|10,Bullish  : 61.99,BUY,BUY,Overbrought : 81.65,Bullish : 77.55,Weak Trend : 19.35,Bullish  : 98.67,Bullish : 6.9,Bullish : 1.29,Bullish : 2.32,Bullish : 1.08,59.79,328.99,11.599,14.63,S&P Global Inc.,Watchlist,100,6.1,1.7,34333.0,buy,26.993,0.487,2.309,0.20552999,0.73425,89.812,2.138
SPDR Select Sector Fund - Consu,XLP,STRONG_BUY,BUY,73.22,72.18,81.34,68.22,3.544218,,,,,,,BUY - 12|4|10,BUY - 10|6|10,SELL - 2|14|10,SELL - 5|11|10,Bullish  : 63.79,BUY,BUY,Bullish : 79.98,Bullish : 74.45,Weak Trend : 19.97,Bullish  : 90.24,Bullish : 0.99,Bullish : 0.35,Bullish : 0.3,Bullish : 0.09,63.02,71.33,,,SPDR Select Sector Fund - Consu,Index,100,,,7322.0,,,,,,,,
Vanguard Real Estate ETF,VNQ,NEUTRAL,NEUTRAL,92.75,91.11,116.71,86.63,,,,,,,,BUY - 11|6|9,NEUTRAL - 8|9|9,SELL - 5|11|10,SELL - 4|14|8,Neutral : 54.25,BUY,SELL,Bullish : 52.34,Bullish : 52.57,Weak Trend : 16.32,Bullish  : 69.47,Bullish : 0.28,Bearish : -0.38,Bearish : -0.11,Bearish : -0.37,54.61,93.61,,,Vanguard Real Estate ETF,Index,100,,,9275.0,,,,,,,,
Technology,PLTR,NEUTRAL,BUY,9.27,9.07,29.29,6.44,,46.350002,1.3,8.210807,,0.33005002,2022-02-14 00:00:00,BUY - 11|6|9,BUY - 11|5|10,SELL - 3|13|10,SELL - 2|10|10,Neutral : 54.91,SELL,SELL,Bullish : 35.23,Bullish : 36.46,Weak Trend : 22.24,Neutral : 13.78,Bullish : 0.35,Bearish : -0.9,Bullish : 0.17,Bullish : 0.21,56.7,9.99,-0.275,0.2,Palantir Technologies Inc.,Cash,100,3.44,3,927.0,hold,1.244,,4.338,-0.08653,-0.27291,11.352,4.114
iShares U.S. Real Estate ETF,IYR,NEUTRAL,NEUTRAL,93.71,91.98,116.89,86.57,4.5678773,,,,,,,BUY - 11|5|10,NEUTRAL - 8|9|9,SELL - 5|11|10,SELL - 5|13|8,Bullish  : 55.93,BUY,SELL,Bullish : 58.41,Bullish : 58.8,Weak Trend : 21.56,Bullish  : 70.1,Bullish : 0.87,Bearish : -0.36,Bullish : 0.12,Bearish : -0.15,55.32,94.39,,,iShares U.S. Real Estate ETF,Index,100,,,9371.0,,,,,,,,
iShares U.S. Home Construction ,ITB,NEUTRAL,NEUTRAL,54.85,52.5,83.43,48.02,,,,,,,,BUY - 11|5|10,NEUTRAL - 8|8|10,SELL - 4|12|10,SELL - 4|13|9,Bullish  : 59.02,BUY,BUY,Overbrought : 85.64,Bullish : 76.35,Weak Trend : 23.19,Bullish  : 125.03,Bearish : -0.31,Bullish : 1.36,Bearish : -0.2,Bearish : -0.69,63.38,51.1,,,iShares U.S. Home Construction ,Index,100,,,5485.0,,,,,,,,
Technology,ORCL,STRONG_BUY,BUY,70.87,69.87,106.34,63.76,20.002823,13.473384,1.45,,-0.538,0.43271,2022-03-08 00:00:00,BUY - 11|5|10,BUY - 13|3|10,SELL - 4|12|10,SELL - 5|11|10,Bullish  : 58.49,BUY,BUY,Overbrought : 84.87,Bullish : 77.03,Weak Trend : 8.55,Bullish  : 108.88,Bullish : 0.88,Bullish : 0.18,Bullish : 0.25,Bearish : -0.01,56.67,67.09,3.543,5.26,Oracle Corporation,Watchlist,100,1.81,2.7,7087.0,hold,8.766,-0.5,1.52,0.08745,10.603089,,1.343
Technology,IT,NEUTRAL,NEUTRAL,244.28,241.83,369.0,221.39,30.439877,34.260868,1.65,60.570293,0.75,0.93446,2022-05-02 00:00:00,BUY - 10|7|9,SELL - 6|11|9,SELL - 3|13|10,SELL - 5|11|10,Neutral : 52.44,BUY,SELL,Bullish : 51.55,Bullish : 50.01,Weak Trend : 17.87,Bullish  : 54.71,Bullish : 0.13,Bearish : -7.01,Bearish : -0.44,Bearish : -1.27,60.29,248.99,8.025,7.13,Gartner. Inc.,Watchlist,100,1.67,2.1,24428.0,buy,9.193,0.881,0.775,0.082320005,1.08596,890.432,0.634
Financial Services,DFS,NEUTRAL,NEUTRAL,97.69,94.58,135.69,88.02,5.8413057,7.2740135,0.12,2.3589213,-0.22,0.87068003,2022-04-19 00:00:00,BUY - 10|7|9,SELL - 6|11|9,SELL - 6|10|10,SELL - 4|13|9,Neutral : 51.08,BUY,SELL,Bullish : 45.59,Bullish : 38.39,Weak Trend : 15.07,Bullish  : 55.16,Bearish : -1.5,Bearish : -1.49,Bearish : -0.87,Bearish : -1.33,54.24,100.09,16.724,13.43,Discover Financial Services,Watchlist,100,3.22,2,9769.0,buy,34.257,-0.162,1.227,0.046079997,0.39848,127.537,1.227
Technology,FISV,NEUTRAL,NEUTRAL,92.58,88.97,119.86,87.03,47.968914,14.30912,0.94,1.9338667,1.201,0.93338996,2022-04-25 00:00:00,BUY - 10|6|10,SELL - 6|10|10,NEUTRAL - 8|9|9,SELL - 3|14|9,Neutral : 53.11,BUY,SELL,Bullish : 44.78,Bullish : 35.04,Weak Trend : 23.02,Bullish  : 78.53,Bearish : -1.55,Bearish : -1.65,Bearish : -0.6,Bearish : -0.9,62.59,93.96,1.93,6.47,Fiserv. Inc.,Watchlist,100,3.27,2,9258.0,buy,1.313,1.262,1.04,0.02101,0.054380003,65.553,0.213
Financial Services,PRU,NEUTRAL,NEUTRAL,97.42,95.68,124.22,90.25,5.3063893,7.7317457,3.29,0.5965159,0.475,0.60008997,2022-05-02 00:00:00,BUY - 10|6|10,SELL - 6|10|10,SELL - 5|11|10,NEUTRAL - 8|11|7,Neutral : 53.51,BUY,SELL,Bullish : 63.4,Bullish : 59.35,Weak Trend : 20.08,Bullish  : 66.75,Bearish : -0.05,Bullish : 0.01,Bearish : -0.2,Bearish : -0.64,53.25,99.43,18.359,12.6,Prudential Financial. Inc.,Watchlist,100,5.43,3.1,9742.0,hold,75.468,0.527,0.989,0.00691,0.119160004,55.082,0.149
Financial Services,MCO,NEUTRAL,NEUTRAL,274.91,271.97,407.94,251.01,24.629099,21.697712,4.82,21.030447,0.36,0.95532,2022-04-26 00:00:00,BUY - 10|6|10,NEUTRAL - 8|9|9,SELL - 4|13|9,SELL - 5|14|7,Bullish  : 55.48,BUY,SELL,Bullish : 62.66,Bullish : 63.88,Weak Trend : 16.85,Bullish  : 59.65,Bullish : 3.0,Bearish : -2.44,Bullish : 0.22,Bearish : -0.76,55.21,278.98,11.162,12.67,Moody's Corporation,Watchlist,100,3.57,2.2,27491.000000000004,buy,10.27,0.367,1.607,0.13193,0.94636,274.211,1.451
Financial Services,MET,NEUTRAL,NEUTRAL,63.68,62.79,73.18,55.21,10.627503,8.844444,0.91,0.77885544,6.627,0.77532995,2022-02-01 00:00:00,BUY - 10|6|10,NEUTRAL - 8|9|9,SELL - 5|11|10,NEUTRAL - 7|10|9,Neutral : 53.17,BUY,SELL,Bullish : 54.84,Bullish : 50.11,Weak Trend : 16.2,Bullish  : 54.02,Bearish : -0.22,Bearish : -0.55,Bearish : -0.08,Bearish : -0.22,54.92,64.96,5.992,7.2,MetLife. Inc.,Watchlist,100,2.31,1.9,6368.0,buy,41.088,9.208,1.03,0.00727,0.09224,161.024,0.795
SPDR Series Trust SPDR Homebuil,XHB,NEUTRAL,NEUTRAL,56.56,54.71,86.61,51.23,,,,,,,,BUY - 10|6|10,NEUTRAL - 7|9|10,SELL - 2|14|10,SELL - 4|13|9,Bullish  : 55.06,BUY,BUY,Bullish : 73.32,Bullish : 66.22,Weak Trend : 21.7,Bullish  : 94.94,Bearish : -0.65,Bullish : 0.31,Bearish : -0.35,Bearish : -0.71,60.49,53.49,,,SPDR Series Trust SPDR Homebuil,Index,100,,,5656.0,,,,,,,,
Technology,AAPL,BUY,BUY,138.93,136.72,182.94,129.04,22.590242,21.210686,2.25,33.412697,0.058,0.59629,2022-07-28 20:00:00,BUY - 10|6|10,BUY - 12|4|10,SELL - 2|14|10,SELL - 6|11|9,Neutral : 51.32,BUY,SELL,Bullish : 39.21,Bullish : 38.46,Weak Trend : 14.93,Neutral : 22.41,Bearish : -0.11,Bearish : -2.87,Bearish : -0.23,Bearish : -0.4,53.79,142.13,6.15,6.55,Apple Inc.,Cash,100,1.3,1.9,13893.0,buy,3.183,0.086,0.927,0.21695,1.49271,178.016,0.76
